|0|1|2|3
2508|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: zum; zu; um; zur; cum; süß; rum; Rum; summ; zus.; im; auf; aus; dem; für; am; sie; nur; so; vom
sum
^^^"|||
2509|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
njgirk
^^^^^^"|||
2510|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: ewig; geig; käsig; kein; tätig; wenig; genug; gering; Gewicht; mäßig; Kevin; Zweig; ewige; fähig; Hedwig; bewog; gewiss; ledig; selig; Käfig
kewig
^^^^^"|||
2511|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Laune; Jayne; Lang; Lage; Lange; Land; Lagen; Länge; Fahne; Zähne; Lande; Laden; Lasse; Lagune; Laude; Lahn; Laute; Laien; Marne; Leine
Lajne
^^^^^"|||
2512|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Alten; Hoden; Halten; Elten; Holten; Hüten; Ilten; Olten; Ölten; Allen; Süden; Haben; Alte; Gelten; Hatten; Selten; Arten; Osten; Guten; Hohen
Hlten
^^^^^"|||
2513|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: trug; frisch; Krug; Bruchs; flugs; frag; Krugs; Burg; wuchs; früh; rasch; Prag; falsch; frühe; Flug; fing; flog; fragt; Bruch; Busch
frusch
^^^^^^"|||
2514|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: interner; anderer; interne; internen; hinterher; innerer; unterer; internes; hinterer; integer; internem; inverser; Unterbär; inerter; integrer
interHer
^^^^^^^^"|||
2515|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: werde; weite; wählte; weilte; wilde; Kälte; gelte; Felde; Zelte; wehte; wende; gälte; melde; wälzte; Bälde; welke; wette; Gelde; Kelte; Melde
welte
^^^^^"|||
2516|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: verdeckte; verrückte; verdickte; verpackte; gerückte; verbockte; verfickte; verguckte; verkackte; verlockte; verreckte; versackte; vertickte; verzockte; verzückte; verfügte; rückte; verlegte; fertigte; drückte
verückte
^^^^^^^^"|||
2517|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: lässt; fasst; passt; hasst; lasst; rast; maßt; prasst; ragst; ranzt; rarst; rasest; ratzt; raust; risst; rußt; rätst; saßt; nässt; dass
rasst
^^^^^"|||
2518|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: verflicht; wegblickt; wegflogt; wegklickt; weg-licht; weglegt; wegfliegt; wegneigt; verpflegt; weglockt; verpflichte; wegblickte; geflickt; wegglitt; verfliegt; wegkickt; verflixt; wegblicke; verflogt
wegfligt
^^^^^^^^"|||
2519|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Ließe; Weiße; Wiese; Hieße; Wisse; Gieße; Diese; Dieses; Ließ; Hieß; Ließen; Viele; Presse; Messe; Heiße; Weiß; Hießen; Weißen; Hesse; Vierte
Wiesse
^^^^^^"|||
2520|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: friert; frort; führt; tritt; fort; fährt; fragt; feiert; fremd; frisst; Frist; dritt; fair; fit; freut; riet; ritt; faire; irrt; verirrt
frirt
^^^^^"|||
2521|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: zitiert; ziert; zittert; eitert; sintert; stiert; widert; zetert; steht; sieht; zieht; sitzt; wider; Liter; liiert; sichert; zielt; zitierte; Litern; codiert
zitert
^^^^^^"|||
2522|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: am er; aber; armer; amen; Gamer; ärmer; Ömer; der; er; über; am; oder; mehr; hier; immer; vier; Namen; aller; daher; kamen
amer
^^^^"|||
2523|"Offset 0, length 10, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Spaziergang; Spaßgang; Spaziergangs; Sparergang; Sparziergang; Spaß-gang; Spaziergange
Spazirgang
^^^^^^^^^^"|||
2524|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: läuft; lauft; lässt; laut; Haft; kauft; lädt; sanft; prüft; Saft; lacht; last; Taft; klafft; lasst; lügt; Warft; häuft; lähmt; rafft
laüft
^^^^^"|||
2525|"Offset 0, length 9, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: hinder her; hinterher; hinterer; hinteren; hintere; hinteres; minderer; hinterem; hindere; hierher; hindern; Wanderer; hinderte; hindert; hinderten; niederer; bitterer; heiterer; hunderter; minderen
hinderher
^^^^^^^^^"|||
2526|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: mal; egal; Kemal; man; einmal; Tal; al; mag; zumal; Emil; gemalt; jemals; Saal; bemalt; legal; ml; oval; real; Nepal; malt
emal
^^^^"|||
2527|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: ebenfalls; Nebenfall; Nebentals
ebenfals
^^^^^^^^"|||
2528|"Offset 0, length 10, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: eingeholt; eingerollt; eingehüllt; eingefüllt; eingewölbt; eingerollte; eingedellt; eingedolt; eingeholte; eingehüllte; eingelullt; eingeheilt; hingesollt; reingeholt; reingesollt; reingewollt
eingehollt
^^^^^^^^^^"|||
2529|"Offset 0, length 13, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: runtergebucht; Kindergerücht; runtergerutscht; runtergebracht; runtergeguckt; runtergekracht; runtergemacht; runtergetaucht; runterkracht; runterkrocht
runtergerucht
^^^^^^^^^^^^^"|||
2530|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: und er; unter; unten; untere; unser; Wunder; runder; unterm; untern; Bunder; Enter; Inder; Unter; Zunder; enter; unters; wunder; änder; der
under
^^^^^"|||
2531|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Tragik; Dranging; Trauring; Draufguck; Tracking; Draufgucke; Trauglocke; Draufleg; Draufklick; Drauflieg
Traugiek
^^^^^^^^"|||
2532|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Ali; Als; Alex; Alle; Aue; Alte; Alec; Alt; Alf; Al; Alm; All; Öle; Yale; Aale; Wale; Alge; Male; Aloe; Ahle
Ale
^^^"|||
2533|"Offset 0, length 9, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: glücklich; klüglich; glückliche; kläglich; klügliche
glükliech
^^^^^^^^^"|||
2534|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: weg; reg; weich; wich; wog; Lech; wach; Pech; welch; Zech; weh; wägt; weck; Häg; Weg; leg; vag; wag; weih
wech
^^^^"|||
2535|"Offset 0, length 12, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: irgendetwas
öhrgendetwas
^^^^^^^^^^^^"|||
2536|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: zu; zum; zur; sah; cum; süß; Kuh; such; zäh; Muh; Ruh; buh; puh; seh; auch; auf; aus; für; sich; sie
zuh
^^^"|||
2537|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: er; mehr; ihr; sehr; eher; her; Uhr; ehe; ehrt; Ohr; Wehr; Behr; eh; kehr; Ahr; Kehr; Mehr; ehre; hehr; wehr
ehr
^^^"|||
2538|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: steck; Stück; steckt; stecke; stockt; stoß; Stack; Steck; Stick; Stock; Stuck; spick; spuck; stak; sticke; stickt; stob; stocke
stok
^^^^"|||
2539|"Offset 0, length 11, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: losgelassen
losgehlasen
^^^^^^^^^^^"|||
2540|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: lauft; laut; läuft; laugt; laust; lässt; lautet; baut; glaubt; Claude; Faust; kauft; lädt; laude; laute; räumt; lacht; last; läutet; raubt
lauFt
^^^^^"|||
2541|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: sprang; Sprung; spring; Spreng; Spring; spreng; gering; Sprint; springt; spannt; Spinne; Sprünge; sprengt; spinnt; Sprungs; spann; springe; spanne; sprenge; Spann
schbrnng
^^^^^^^^"|||
2542|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Ruht; Hund; Hurt; Huhn; Müht; Buht; Huld; Huhu; Hupt; Muht; Und; Geht; Heute; Rund; Acht; Höhe; Fuhr; Hohe; Hand; Kurt
Huhd
^^^^"|||
2543|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: spring; Spurring; Spring; Schubring; gering; Spaßring; sprang; Sprint; Achtring; Sprung; Echoring; springt; Spamring; springe; Spähring; Spreng; Spätring; Spülring; spreng
schbring
^^^^^^^^"|||
2544|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Kassa; Lassa; Massa; Passa; dass; was; lässt; Jazz; saß; Masse; Maße; fasst; Nassau; Passau; Rasse; lasse; passt; Gasse; Hansa; Hass
wassa
^^^^^"|||
2545|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Trend; tränt; Brent; dient; trägt; Grund; breit; grenzt; Brand; Front; dreht; lernt; präsent; trennt; Bernd; Kent; fremd; prägt; Brest; Brett
rrent
^^^^^"|||
2546|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Sprit; speit; Esprit; spritz; spröd; seit; April; somit; spricht; sorgt; spät; spitz; Sprint; sprich; springt; strikt; speist; spürt; stritt; zweit
sprit
^^^^^"|||
2547|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gehend; redend; ruhend; sehend; behänd; mähend; nähend; regend; rezent; wehend; sehen; gehen; erhält; Gegend; erhebt; Lehen; drehen; lehnt; regelt; behält
rehent
^^^^^^"|||
2548|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Wasen; waren; wären; saßen; Basen; Vasen; wagen; Gasen; Hasen; Mäzen; lasen; maßen; Nasen; Oasen; vagen; rasen; waten; säßen; wägen; Fasen
wasen
^^^^^"|||
2549||||
2550|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Plums; plus; plump; Slums; Blums; Klums; bums; plumps; Fluss; ums; Albums; Clubs; Klubs; blüht; Blume; blass; blaues; Blum; Raums; Baums
plums
^^^^^"|||
2551|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: klüglich; glücklich; grünlich; kläglich; gütlich; klüftig; klügliche
glüKlich
^^^^^^^^"|||
2552|"Offset 0, length 12, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gesprungen; gesprungene; geschwungen; gesprengten; Ursprüngen; geschlungen; wegbringen; besprengen; Absprüngen; Bescherungen; Eisprüngen; absprüngen; besprangen; bespringen; gesprungenem; gesprungenen; gesprungener; gesprungenes; gesprühten; umsprungen
geschbrungen
^^^^^^^^^^^^"|||
2553|"Offset 0, length 9, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: ausgelacht; ausgelegt; ausgemacht; ausgesagt; ausgedacht; ausklang; aufgelacht; ausgelachte; ausgesägt; ausglich; büschelig; kuschelig; wuschelig; ausgelocht; ausgleich
ausgelach
^^^^^^^^^"|||
2554|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: geprüft; Gebrüll; gebrüllt; febril; gebrüht
gebrül
^^^^^^"|||
2555|"Offset 0, length 9, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: springt; sprengt; spring; springe; Spring; sprangt; zuspringt; springts; geringe; spricht; gelingt; gering; sprang; Springer; Sprint; Sprung; springen; Sprünge
schpringd
^^^^^^^^^"|||
2556|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Spanien; Spaßen; Spasmen; Spaßigen; Späßen; Spaßten; Späten; Spaniens; Spanier; Passen; Sparen; Spaniern; Spalten; Spezies; Apachen; Stadien; Spannen; Spazieren; Akazien; Saucen
Spazien
^^^^^^^"|||
2557|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: an mal; anomal; anal; anmale; anmalt; einmal; mal; zumal; Kanal; ansah; Mahnmal; angab; anhält; ankam; Kemal; axial; banal; nasal; Tantal; anomale
anmal
^^^^^"|||
2558|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: an fach; anfache; anfacht; anlag; anmach; nach; danach; einfach; ansah; anzog; Unfug; ansagt; anbrach; anfügt; Bankfach; Baufach; Zahnfach; anfachen; Gefach; Hanfbach
anfach
^^^^^^"|||
2559|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: einer; seiner; kleiner; keiner; reiner; Rainer; feiner; leider; meiner; Heiner; deiner; leiser; leinen; eine; einem; einen; eines; seine; keine; seinem
leiner
^^^^^^"|||
2560|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: möglich; merklich; bucklig; bröcklig; dicklich; höchlich; höckrig; mickrig; mäkelig; picklig; wacklig
möcklich
^^^^^^^^"|||
2561|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Neuer; Feuer; Teuer; Heuer; Neue; Neuen; Meter; Neues; Meer; Neuem; Mauer; Neuere; Meyer; Teure; Teurer; Reuter; Feuers; Reue; Meier; Feuern
Mäuer
^^^^^"|||
2562|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gehen; gegen; sehen; geben; Lehen; gehe; kehren; Zehen; kämen; zähen; gehend; gäben; jähen; nähen; sähen; wehen; gären; mähen; Rehen; gähnen
kehen
^^^^^"|||
2563|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Luft; lupft; lüpft; läuft; ruft; Duft; Kluft; lügt; hüpft; zupft; lugt; luv; lauft; lupfe; lupfst; lupfte; lüfte; lüpfe; lüpfst
luft
^^^^"|||
2564|"Offset 0, length 9, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: losgerast; losgerannt; losgesagt; Löschbrand; losgehabt; losgehend; losgetrabt; losgebrannt; losgemalt; losgeplant; losgesandt; losgetanzt; loslernt
losgerant
^^^^^^^^^"|||
2565|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: zurück; zuzog; zur; zuvor; Euro; Büro; Büros; barock; zügig; streckt; Juror; Kursk; Tarock; strickt; surft; stricke; zuck; Barock
zurok
^^^^^"|||
2566|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: kam; kaum; gar; arm; warm; Darm; Lärm; karg; gare; gram; gärt; Farm; Warm; Wärm; garem; gäre; kämm; wärm; gart; war
karm
^^^^"|||
2567|"Offset 0, length 14, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: steckengeblieben; steckengebliebene
stakengebliben
^^^^^^^^^^^^^^"|||
2568|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: spaßen; spaßigen; spaßten; passen; passiven; passten; spaßig; Späßen; Faszien; Spaßen; abpassen; abpassten; spaße; spaßend; spaßige; spaßigem; spaßiger; spaßiges; spaßte; spaßtet
spassien
^^^^^^^^"|||
2569|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: mehr; sehr; eher; näher; jeher; gebar; Wehr; Cäsar; Schar; Behr; Bihar; Lear; Seher; zäher; Geher; mähen; kehr; mega; molar; Denar
mehar
^^^^^"|||
2570|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: endet; enden; ende; enter; änder; unter; Ende; indem; endete; eng; unten; enge; engen; enger; wendet; Sender; indes; sendet; wenden; engem
endeg
^^^^^"|||
2571|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: anderes; faderes; öderes; andere; anderem; anderen; deren; anderer; anders; derer; Heeres; Meeres; Sterns; Tieres; äußeres; leeres; oberes; Kaders; Bieres; Sternes
aderes
^^^^^^"|||
2572|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Mauer; Mau; Maul; Maure; Maus; Maue; Maut; Maar; Mahr; Auf; Aus; Mär; War; Zur; Mauro; Man; Mehr; Nur; Jahr; Bau
Maur
^^^^"|||
2573|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Laien; Leiere; Leinene; Seien; Leitete; Leiche; Lagune; Lagen; Leine; Leiden; Läden; Leiten; Diene; Laden; Haien; Leitende; Laterne; Liebe; Leinen; Liege
Laiene
^^^^^^"|||
2574|"Offset 0, length 10, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Losgelassen; Löschgasen; Losgelösten; Los-blasen; Losgelassene; Losgelaufen
Losgelasen
^^^^^^^^^^"|||
2575|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: weglauft; wegläuft; verläuft; wegräumt; verlauft; weghaust; weglaufe; weghaut; wegläufst; wegwarft; wegkauft; wegrafft; wegsauft; wegtaut; wegsäuft; weghalft; verkauft; geglaubt; geklaut; wegsaust
weglauvt
^^^^^^^^"|||
2576|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: flog; froh; frech; kroch; roch; Grog; frag; trog; Trog; noch; doch; hoch; trug; brach; früh; Prag; floh; Erich; fing; flach
vroch
^^^^^"|||
2577|"Offset 0, length 2, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: out; und; auf; aus; um; zum; zur; nur; gut; nun; du; tun; uns; Fuß; Ruf; Zug; ums; TuS; ad; tut
ud
^^"|||
2578|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: wollte; volle; wolle; wohltue; sollte; Rolle; holte; wollen; wollten; solle; voll; voller; wohnte; vollen; vollem; wilde; Hölle; volles; Moltke; Zölle
woltle
^^^^^^"|||
2579|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: van gen; fangen; fanden; langen; manchen; hängen; Banken; sanken; Längen; Wangen; fingen; ranken; sangen; Gängen; Rängen; danken; Bänken; Fängen; bangen; fänden
vangen
^^^^^^"|||
2580|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gelaufen; belaufen; gelaufene; Geläufen; gelangen; gebauten; geladen; gelassen; genauen; glauben; ablaufen; geläufig; anlaufen; gehauen; gekauften; geläufigen; geläutet; getauften; erlaufen; gelaufenen
gelauven
^^^^^^^^"|||
2581|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Park; Barock; Parks; Barocke; Back; Barack; Tarock; Pack; Parkt; Parka; März; Markt; Paris; Mark; Parke; Jack; Marke; Party
Parck
^^^^^"|||
2582|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Kahn; gähn; kann; Bahn; Hahn; kahl; Jahn; Lahn; Zahn; Dahn; Rahn; Wahn; kühn; bahn; gähne; gähnt; sahn; an; man; Jahr
kahn
^^^^"|||
2583||||
2584|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: fader; Vater; Kader; Täter; Räder; Väter; Bäder; Kater; Bader; Lader; fade; faden; vager; fades; hader; Hader; Pater; Räter; Wader; fadem
fater
^^^^^"|||
2585|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: knickt; knackt; kniet; glückt; knackte; knickte; klickt; knack; aneckt; checkt; geigt; gingt; klackt; knacke; knackst; knick; knicke; knickst; gibt
knikt
^^^^^"|||
2586|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Vize; Fixe; Phase; Lise; Füße; Vice; Visp; Fiese; Phyle; Rize; Fase; Fies; Feze; Fis; File; Fuße; Vife; Vase; Vifes; Vis
Fise
^^^^"|||
2587|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: spricht; springt; spritzt; strickt; spickt; springst; sprintet
sprinckt
^^^^^^^^"|||
2588|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Maler; Mager; Meer; Mauer; Der; Mayer; Er; Maier; War; Maser; Über; Maar; Oder; Mahr; Aber; Mäher; Man; Mär; Mehr; Märe
Maer
^^^^"|||
2589|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: reifen; rufenden; Hufeisen; rufe-gen; pfeifen; Pfeifen; rupfenden; rumfeilen
rufeifen
^^^^^^^^"|||
2590|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: beiden; seien; Laien; beten; Haien; beißen; beben; beizen; Baien; Beyen; Feyen; bedien; beigen; bäten; feien; peilen; pesen; ein; eine; bei
beien
^^^^^"|||
2591|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: lebt; legt; läuft; Heft; lädt; leid; lest; lupft; lägt; lüpft; seit; Zeit; geht; lässt; oft; Welt; fest; lebte; legte; weit
läft
^^^^"|||
2592|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: neue; neu; neun; läuft; Zeus; Heu; Reue; Teufe; heut; peu; zeug; Deut; Heus; Leu; Leus; Neu; Neun; Reuß; Zeug
läuf
^^^^"|||
2593|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Loops; Korps; Moos; Zoos; Moors; wölbt; Flops; Korbs; Rohöls; Booms; Boots; Coop; Corps; Coups; Drops; Hiobs; Horbs; Klops; Koogs; Looks
woops
^^^^^"|||
2594||||
2595|"Offset 0, length 15, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
plicheplachnass
^^^^^^^^^^^^^^^"|||
2596|"Offset 0, length 11, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: ausgerückt; ausgerutscht; ausgenutzt; ausgesucht; ausgereicht; aufgerückt; ausgebucht; ausgenützt; ausgeruht; ausgeguckt; ausgelutscht; ausgeputzt; ausgeraucht; ausgerutschte; ausgerückte; ausgewürgt; rausgerutscht
ausgerutcht
^^^^^^^^^^^"|||
2597||||
2598|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: rennt; Arendt; renkt; Fendt; Wendt; rund; grenzt; hängt; nennt; recht; kennt; wendet; Bände; Hände; Senat; reist; runde; sendet; trennt; Bett
rentt
^^^^^"|||
2599|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: wie; wies; weise; wisse; Lise; vice; Vize; Rize; vife; vis; wiese; die; ist; eine; bis; sie; wird; diese; vier
wise
^^^^"|||
2600|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: flog; froh; frech; frohe; fror; kroch; Grog; frag; trog; Trog; von; vom; vor; zog; frei; groß; pro; trug; York; fort
frog
^^^^"|||
2601|"Offset 0, length 9, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Felsmauer; Flussmauer; Füllmauer; Flugmauer; Pfalzmauer; Glasmauer; Flurmauer; Flutmauer; Filzmauer; Filz-mauer; Fräsmauer; Frühmauer; Glühmauer; Volksmauer
Flüsmauer
^^^^^^^^^"|||
2602|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: spricht; springt; sprengt; spracht; sprangt; sprecht; sprach; sorgt; singt; sprang; prägt; sprich; strikt; zwingt; spannt; spreche; sprengte; streckt; prangt; spinnt
sprngt
^^^^^^"|||
2603|"Offset 0, length 10, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Spaniern; spazieren; spaziert; Spazieren; spaziere; Spacern; Spanien; Spanier; Spanierin; glasiert; Spalier; Spaniers; spazierte; Spasmen; Spähern; gläsern; Spannern; Sparern
schpaziern
^^^^^^^^^^"|||
