id	misspelling	gold	suggestions	suggestions_withRank
7412	bauklötz	Bauklötze	[jaulst, mault, auslöst, ballt, backst, auslöste, jaulte, maulte, auflöste, baute, baumle, backte, baumelst, faulte, jault, baust, auflöst, balgt, baumelte, fault, bauschte, baut, blitz, ballte, faulste, baumelt, auflöse, bauscht, backt]	{4.0=[jaulst, mault, auslöst, ballt, backst, auslöste, jaulte, maulte, auflöste, baute, baumle, backte, baumelst, faulte, jault, baust, auflöst, balgt, baumelte, fault, bauschte, baut, blitz, ballte, faulste, baumelt, auflöse, bauscht, backt]}
7413	krabelte	krabbelte	[krabbelte, Krabbelte, grübelte, radelte, krabbelten, kraulte, kribbelte, krallte, krabble, krabbelt]	{1.0=[krabbelte], 1.5=[Krabbelte], 2.0=[grübelte, radelte, krabbelten, kraulte, kribbelte, krallte, krabble, krabbelt]}
7414	Katong	Karton	[Karton, Kanone, Kartons]	{2.0=[Karton, Kanone, Kartons]}
7415	haten	hatten	[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]	{1.0=[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]}
7416	wolte	wollte	[wogte, wollte, holte, wolle]	{1.0=[wogte, wollte, holte, wolle]}
7417	Katon	Karton	[Karton, Beton, Salon, Kalten, Kanten, Kater, Kauen, Karten, Katze, Kanone, Kasten, Kartons, Katern, Daten, Katzen, Kamen, Kamin, Davon, Kann, Katja, Baron, Taten, Raten, Kahn, Katz]	{1.0=[Karton], 2.0=[Beton, Salon, Kalten, Kanten, Kater, Kauen, Karten, Katze, Kanone, Kasten, Kartons, Katern, Daten, Katzen, Kamen, Kamin, Davon, Kann, Katja, Baron, Taten, Raten, Kahn, Katz]}
7418	Katon	Karton	[Karton, Beton, Salon, Kalten, Kanten, Kater, Kauen, Karten, Katze, Kanone, Kasten, Kartons, Katern, Daten, Katzen, Kamen, Kamin, Davon, Kann, Katja, Baron, Taten, Raten, Kahn, Katz]	{1.0=[Karton], 2.0=[Beton, Salon, Kalten, Kanten, Kater, Kauen, Karten, Katze, Kanone, Kasten, Kartons, Katern, Daten, Katzen, Kamen, Kamin, Davon, Kann, Katja, Baron, Taten, Raten, Kahn, Katz]}
7419	kaput	kaputt	[kaut, kaputt, Kaputt]	{1.0=[kaut, kaputt], 1.5=[Kaputt]}
7420	Katon	Karton	[Karton, Beton, Salon, Kalten, Kanten, Kater, Kauen, Karten, Katze, Kanone, Kasten, Kartons, Katern, Daten, Katzen, Kamen, Kamin, Davon, Kann, Katja, Baron, Taten, Raten, Kahn, Katz]	{1.0=[Karton], 2.0=[Beton, Salon, Kalten, Kanten, Kater, Kauen, Karten, Katze, Kanone, Kasten, Kartons, Katern, Daten, Katzen, Kamen, Kamin, Davon, Kann, Katja, Baron, Taten, Raten, Kahn, Katz]}
7421	haten	hatten	[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]	{1.0=[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]}
7422	Bell	Bello	[Ball, Beil, Fell, Hell]	{1.0=[Ball, Beil, Fell, Hell]}
7423	Katong	Karton	[Karton, Kanone, Kartons]	{2.0=[Karton, Kanone, Kartons]}
7424	heist	heißt	[weist, reist, heißt, seist, meist, heilt, hebst, heizt]	{1.0=[weist, reist, heißt, seist, meist, heilt, hebst, heizt]}
7425	Kartongs	Kartons	[Kartons, Karton, Gartens, Karten, Kastens, Barons]	{1.0=[Kartons], 2.0=[Karton], 3.0=[Gartens, Karten, Kastens, Barons]}
7426	siet	sieht	[riet, siebt, seit, siegt, sieh, sieht, sie]	{1.0=[riet, siebt, seit, siegt, sieh, sieht, sie]}
7427	Kartong	Karton	[Karton, Kartons, Karten]	{1.0=[Karton, Kartons], 2.0=[Karten]}
7428	wakelt	wackelt	[wackelt, Wackelt, hagelt, welt, wackelte, watet, wickelt, nagelt, wackeln, tadelt, wackel, wuselt, wallt, radelt, wedelt]	{1.0=[wackelt], 1.5=[Wackelt], 2.0=[hagelt, welt, wackelte, watet, wickelt, nagelt, wackeln, tadelt, wackel, wuselt, wallt, radelt, wedelt]}
7429	felt	fällt	[fett, welt, fegt, fehlt, fest]	{1.0=[fett, welt, fegt, fehlt, fest]}
7430	Kartong	Karton	[Karton, Kartons, Karten]	{1.0=[Karton, Kartons], 2.0=[Karten]}
7431	herfor	hervor	[hervor, herzog, erfror, verlor, gefror]	{1.0=[hervor], 2.0=[herzog, erfror, verlor, gefror]}
7432	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7433	wolte	wollte	[wogte, wollte, holte, wolle]	{1.0=[wogte, wollte, holte, wolle]}
7434	kartong	Karton	[Karton, Kartons, Karten]	{1.5=[Karton, Kartons], 2.5=[Karten]}
7435	sas	saß	[saß, sau, das, was, sag, sah, las]	{1.0=[saß, sau, das, was, sag, sah, las]}
7436	Dan	Dann	[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]	{1.0=[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]}
7437	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7438	Kartong	Karton	[Karton, Kartons, Karten]	{1.0=[Karton, Kartons], 2.0=[Karten]}
7439	kartong	Karton	[Karton, Kartons, Karten]	{1.5=[Karton, Kartons], 2.5=[Karten]}
7440	bield	Bild	[Bild, fiel, hielt, ziele, mild, beil, mied, biege, belud, viel, bilde, fiele, zielt, biete, bald, viele, biegt, wild]	{1.5=[Bild], 2.0=[fiel, hielt, ziele, mild, beil, mied, biege, belud, viel, bilde, fiele, zielt, biete, bald, viele, biegt, wild]}
7441	weck	weg	[weck, Weck, keck, weckt, deck, welk, Zweck]	{0.0=[weck], 0.5=[Weck], 1.0=[keck, weckt, deck, welk, Zweck]}
7442	gefalen	gefallen	[gefallen, Gefallen, geladen, gellen, gefielen, gehauen, gefallene, befallen, gefahren, gefalle, geraden, genialen, befahlen, gefaltet, bemalen, gehalten, genauen, gemalten, gefangen, gefallt, geraten]	{1.0=[gefallen], 1.5=[Gefallen], 2.0=[geladen, gellen, gefielen, gehauen, gefallene, befallen, gefahren, gefalle, geraden, genialen, befahlen, gefaltet, bemalen, gehalten, genauen, gemalten, gefangen, gefallt, geraten]}
7443	kaput	kaputt	[kaut, kaputt, Kaputt]	{1.0=[kaut, kaputt], 1.5=[Kaputt]}
7444	bield	Bild	[Bild, fiel, hielt, ziele, mild, beil, mied, biege, belud, viel, bilde, fiele, zielt, biete, bald, viele, biegt, wild]	{1.5=[Bild], 2.0=[fiel, hielt, ziele, mild, beil, mied, biege, belud, viel, bilde, fiele, zielt, biete, bald, viele, biegt, wild]}
7445	gehsehen	gesehen	[gesehen, Gesehen, versehen, gestehen, geliehen, besehen, gesehn]	{1.0=[gesehen], 1.5=[Gesehen], 2.0=[versehen, gestehen, geliehen, besehen, gesehn]}
7446	das	dass	[das, Das, daß, des, dass, dar, was, da, las]	{0.0=[das], 0.5=[Das], 1.0=[daß, des, dass, dar, was, da, las]}
7447	maren	machen	[magen, waren, malen]	{1.0=[magen, waren, malen]}
7448	Torm	Turm	[Form, Tor, Tore, Turm, Tors, Vorm]	{1.0=[Form, Tor, Tore, Turm, Tors, Vorm]}
7449	stet	steht	[steh, stets, steht]	{1.0=[steh, stets, steht]}
7450	ket	geht	[rät, kehrt, leb, kennt, den, dem, leg, der, fit, tut, küßt, des, riet, bat, her, legt, hex, per, beet, Akte, je, Paket, hebt, nett, knete, geb, gut, kaut, geh, übt, Beet, weit, keift, fest, kamt, fett, gen, regt, sei, seh, tot, weg, mit, geht, weh, kg, wem, klebt, wen, wer, e, Akt, heut, kalt, weht, setz, keck, hetz, oft, gebt, kniet, bei, hext, ist, Skat, red, reg, hat, hegt, eßt, ißt, neu, eh, tat, wert, alt, lest, kenn, er, es, zeit, ne, lebt, sät, fegt, bot, seit, kein, Ekel, not, kam, rot, kehr, bete, kau, welt, seht, ort, bebt]	{2.0=[rät, kehrt, leb, kennt, den, dem, leg, der, fit, tut, küßt, des, riet, bat, her, legt, hex, per, beet, Akte, je, Paket, hebt, nett, knete, geb, gut, kaut, geh, übt, Beet, weit, keift, fest, kamt, fett, gen, regt, sei, seh, tot, weg, mit, geht, weh, kg, wem, klebt, wen, wer, e, Akt, heut, kalt, weht, setz, keck, hetz, oft, gebt, kniet, bei, hext, ist, Skat, red, reg, hat, hegt, eßt, ißt, neu, eh, tat, wert, alt, lest, kenn, er, es, zeit, ne, lebt, sät, fegt, bot, seit, kein, Ekel, not, kam, rot, kehr, bete, kau, welt, seht, ort, bebt]}
7451	katon	Karton	[Karton, taten, kamen, kann, davon, Skaten, kalten, waten, kauen, raten, skaten, kauten, baten]	{1.5=[Karton], 2.0=[taten, kamen, kann, davon, Skaten, kalten, waten, kauen, raten, skaten, kauten, baten]}
7452	se	setz	[s, e, sei, ne, seh, je, so, es, sie]	{1.0=[s, e, sei, ne, seh, je, so, es, sie]}
7453	dech	sich	[dich, deck, doch]	{1.0=[dich, deck, doch]}
7454	felt	fällt	[fett, welt, fegt, fehlt, fest]	{1.0=[fett, welt, fegt, fehlt, fest]}
7455	sai	sein	[saß, hai, sei, sau, sag, sah]	{1.0=[saß, hai, sei, sau, sag, sah]}
7456	Torm	Turm	[Form, Tor, Tore, Turm, Tors, Vorm]	{1.0=[Form, Tor, Tore, Turm, Tors, Vorm]}
7457	kapotkemart	kaputtgemacht	[kaputtem, kapiert, kaputtmacht, kaputtgemacht, kaputter]	{5.0=[kaputtem, kapiert, kaputtmacht, kaputtgemacht, kaputter]}
7458	ket	geht	[rät, kehrt, leb, kennt, den, dem, leg, der, fit, tut, küßt, des, riet, bat, her, legt, hex, per, beet, Akte, je, Paket, hebt, nett, knete, geb, gut, kaut, geh, übt, Beet, weit, keift, fest, kamt, fett, gen, regt, sei, seh, tot, weg, mit, geht, weh, kg, wem, klebt, wen, wer, e, Akt, heut, kalt, weht, setz, keck, hetz, oft, gebt, kniet, bei, hext, ist, Skat, red, reg, hat, hegt, eßt, ißt, neu, eh, tat, wert, alt, lest, kenn, er, es, zeit, ne, lebt, sät, fegt, bot, seit, kein, Ekel, not, kam, rot, kehr, bete, kau, welt, seht, ort, bebt]	{2.0=[rät, kehrt, leb, kennt, den, dem, leg, der, fit, tut, küßt, des, riet, bat, her, legt, hex, per, beet, Akte, je, Paket, hebt, nett, knete, geb, gut, kaut, geh, übt, Beet, weit, keift, fest, kamt, fett, gen, regt, sei, seh, tot, weg, mit, geht, weh, kg, wem, klebt, wen, wer, e, Akt, heut, kalt, weht, setz, keck, hetz, oft, gebt, kniet, bei, hext, ist, Skat, red, reg, hat, hegt, eßt, ißt, neu, eh, tat, wert, alt, lest, kenn, er, es, zeit, ne, lebt, sät, fegt, bot, seit, kein, Ekel, not, kam, rot, kehr, bete, kau, welt, seht, ort, bebt]}
7459	Brausen	draußen	[Brausen, brausen, Braunen, Brause, Brauen, Grausen]	{0.0=[Brausen], 0.5=[brausen], 1.0=[Braunen, Brause, Brauen, Grausen]}
7460	laren	lachen	[Klaren, lagen, laden, lasen, waren, klaren]	{1.0=[Klaren, lagen, laden, lasen, waren, klaren]}
7461	at	hat	[ab, a, Rat, Tat, tat, ah, alt, am, an, bat, Bat, Hat, hat, aß]	{1.0=[ab, a, Rat, Tat, tat, ah, alt, am, an, bat, Bat, Hat, hat, aß]}
7462	klözen	Klötzen	[Klößen, Klötzen, kleben, flögen, lösen, klugen, klagen, blöken, kurzen, klauen, klären, flöten, klaren, blöden]	{1.5=[Klößen, Klötzen], 2.0=[kleben, flögen, lösen, klugen, klagen, blöken, kurzen, klauen, klären, flöten, klaren, blöden]}
7463	maren	machen	[magen, waren, malen]	{1.0=[magen, waren, malen]}
7464	faita	weiter	[Fata, fit, fast, faßte, falte, faire, fair, faßt]	{1.5=[Fata], 2.0=[fit, fast, faßte, falte, faire, fair, faßt]}
7465	komt	kommt	[komm, kommt, kamt]	{1.0=[komm, kommt, kamt]}
7466	andereres	anderes	[anderes, Wanderers, anderer]	{2.0=[anderes, Wanderers, anderer]}
7467	heist	heißt	[weist, reist, heißt, seist, meist, heilt, hebst, heizt]	{1.0=[weist, reist, heißt, seist, meist, heilt, hebst, heizt]}
7468	bemergen	bemerken	[bemerken, bewerfen, bezeugen, bewerben, bewegen, belegen, besorgen, bemerke, bemerkten, bergen]	{1.0=[bemerken], 2.0=[bewerfen, bezeugen, bewerben, bewegen, belegen, besorgen, bemerke, bemerkten, bergen]}
7469	das	dass	[das, Das, daß, des, dass, dar, was, da, las]	{0.0=[das], 0.5=[Das], 1.0=[daß, des, dass, dar, was, da, las]}
7470	wolte	wollte	[wogte, wollte, holte, wolle]	{1.0=[wogte, wollte, holte, wolle]}
7471	zusamen	zusammen	[zukamen, zusagen, zusahen, zusammen]	{1.0=[zukamen, zusagen, zusahen, zusammen]}
7472	wolte	wollte	[wogte, wollte, holte, wolle]	{1.0=[wogte, wollte, holte, wolle]}
7473	fal	fall	[fahl, fall, mal, faul]	{1.0=[fahl, fall, mal, faul]}
7474	fersucht	versucht	[versucht, Versucht, geraucht, Eifersucht, forscht, versuche, gesucht, besucht, feucht, versuchst, versuchte, versuch]	{1.0=[versucht], 1.5=[Versucht], 2.0=[geraucht, Eifersucht, forscht, versuche, gesucht, besucht, feucht, versuchst, versuchte, versuch]}
7475	gefracht	gefragt	[gebracht, gekracht, geraucht, gelacht, geforscht, gefischt, gefragt, gerecht, gewacht, gerächt, gemacht, gebraucht, gefaucht, geflucht, gedacht]	{1.0=[gebracht, gekracht], 2.0=[geraucht, gelacht, geforscht, gefischt, gefragt, gerecht, gewacht, gerächt, gemacht, gebraucht, gefaucht, geflucht, gedacht]}
7476	Katon	Karton	[Karton, Beton, Salon, Kalten, Kanten, Kater, Kauen, Karten, Katze, Kanone, Kasten, Kartons, Katern, Daten, Katzen, Kamen, Kamin, Davon, Kann, Katja, Baron, Taten, Raten, Kahn, Katz]	{1.0=[Karton], 2.0=[Beton, Salon, Kalten, Kanten, Kater, Kauen, Karten, Katze, Kanone, Kasten, Kartons, Katern, Daten, Katzen, Kamen, Kamin, Davon, Kann, Katja, Baron, Taten, Raten, Kahn, Katz]}
7477	komt	kommt	[komm, kommt, kamt]	{1.0=[komm, kommt, kamt]}
7478	Eende	Ende	[ende, Ende, Elende]	{1.0=[ende, Ende, Elende]}
7479	gehet	geht	[Gehet, gehst, gehext, gehen, geht, gehegt, gehe]	{0.5=[Gehet], 1.0=[gehst, gehext, gehen, geht, gehegt, gehe]}
7480	Katuks	Kartons	[Katers, Datums, Kaktus]	{2.0=[Katers, Datums, Kaktus]}
7481	gehet	geht	[Gehet, gehst, gehext, gehen, geht, gehegt, gehe]	{0.5=[Gehet], 1.0=[gehst, gehext, gehen, geht, gehegt, gehe]}
7482	Katuks	Kartons	[Katers, Datums, Kaktus]	{2.0=[Katers, Datums, Kaktus]}
7483	nebt	nehmt	[gebt, nett, lebt, bebt, hebt]	{1.0=[gebt, nett, lebt, bebt, hebt]}
7484	JegaTeil	Jengateil	[Gegenteil, Begreif, egal, Teil, Beeil, Jeweils, Regel, Segel, Derweil, Regal, Detail]	{3.5=[Gegenteil], 4.0=[Begreif, egal, Teil, Beeil, Jeweils, Regel, Segel, Derweil, Regal, Detail]}
7485	zit	zieht	[fit, mit, zeit]	{1.0=[fit, mit, zeit]}
7486	Jegaspiel	Jengaspiel	[Beispiel, Endspiel, Geraschel, Beispiels, gespielt, Augapfel, Gerappel, Beispiele, spiel, Schauspiel, Abspiel, Gespielt, Abgespielt]	{3.0=[Beispiel], 3.5=[Endspiel], 4.0=[Geraschel, Beispiels, gespielt, Augapfel, Gerappel, Beispiele, spiel, Schauspiel, Abspiel, Gespielt, Abgespielt]}
7487	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7488	gehet	geht	[Gehet, gehst, gehext, gehen, geht, gehegt, gehe]	{0.5=[Gehet], 1.0=[gehst, gehext, gehen, geht, gehegt, gehe]}
7489	halet	haltet	[halt, haltet, halte, hallt]	{1.0=[halt, haltet, halte, hallt]}
7490	Sopf	Zopf	[Zopf, Topf, Kopf, Stopf]	{1.0=[Zopf, Topf, Kopf, Stopf]}
7491	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7492	zit	sitz	[fit, mit, zeit]	{1.0=[fit, mit, zeit]}
7493	Katok	Karton	[Karton, Kater, Katze, Katja, Katz]	{2.0=[Karton, Kater, Katze, Katja, Katz]}
7494	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7495	fald	fallt	[fall, wald, bald, fand]	{1.0=[fall, wald, bald, fand]}
7496	runeta	runter	[rundet, rundete, ruhet, runter, rufet]	{2.0=[rundet, rundete, ruhet, runter, rufet]}
7497	aba	aber	[ab, Ab, Aha]	{1.0=[ab], 1.5=[Ab, Aha]}
7498	Jegaspiel	Jengaspiel	[Beispiel, Endspiel, Geraschel, Beispiels, gespielt, Augapfel, Gerappel, Beispiele, spiel, Schauspiel, Abspiel, Gespielt, Abgespielt]	{3.0=[Beispiel], 3.5=[Endspiel], 4.0=[Geraschel, Beispiels, gespielt, Augapfel, Gerappel, Beispiele, spiel, Schauspiel, Abspiel, Gespielt, Abgespielt]}
7499	kapurt	kaputt	[kaputt, Kaputt, kaust, kapiert, kaut, kaputte, kauert, kauft]	{1.0=[kaputt], 1.5=[Kaputt], 2.0=[kaust, kapiert, kaut, kaputte, kauert, kauft]}
7500	falt	fallt	[halt, galt, fallt, fast, fall, alt, falte, fault, kalt, faßt, malt]	{1.0=[halt, galt, fallt, fast, fall, alt, falte, fault, kalt, faßt, malt]}
7501	runta	runter	[runde, ruft, bunte, bunt, raunt, ruht, runter, ruhte, rund, raunte]	{2.0=[runde, ruft, bunte, bunt, raunt, ruht, runter, ruhte, rund, raunte]}
7502	aba	aber	[ab, Ab, Aha]	{1.0=[ab], 1.5=[Ab, Aha]}
7503	Katol	Karton	[Kamel, Karton, Kater, Katze, Katja, Kanal, Kabel, Katz]	{2.0=[Kamel, Karton, Kater, Katze, Katja, Kanal, Kabel, Katz]}
7504	kopt	kommt	[Kopf, kippt, bot, kaut, hopst, kamt, küßt, not, rot, gott, koste, tot, mopst, kocht, hupt, dort, boxt, lobt, kommt, kalt, klopft, wort, ort, wogt, klopf, komm, hopp, tobt, koch, fort, oft, holt]	{1.5=[Kopf], 2.0=[kippt, bot, kaut, hopst, kamt, küßt, not, rot, gott, koste, tot, mopst, kocht, hupt, dort, boxt, lobt, kommt, kalt, klopft, wort, ort, wogt, klopf, komm, hopp, tobt, koch, fort, oft, holt]}
7505	unt	und	[Bunt, bunt, und, uns]	{1.0=[Bunt, bunt, und, uns]}
7506	danar	danach	[danke, daran, dankbar, dafür, davor, dann, dankt, dar, dank, daher, paar, dalag, dasaß, danach]	{2.0=[danke, daran, dankbar, dafür, davor, dann, dankt, dar, dank, daher, paar, dalag, dasaß, danach]}
7507	katong	Karton	[Karton, Kanone, Kartons]	{2.5=[Karton, Kanone, Kartons]}
7508	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7509	wolte	wollte	[wogte, wollte, holte, wolle]	{1.0=[wogte, wollte, holte, wolle]}
7510	katong	Karton	[Karton, Kanone, Kartons]	{2.5=[Karton, Kanone, Kartons]}
7511	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7512	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7513	wars	was	[warn, warm, warst, was, warf, war, ware, ward, wart]	{1.0=[warn, warm, warst, was, warf, war, ware, ward, wart]}
7514	pasiert	passiert	[pariert, passiert, Passiert]	{1.0=[pariert, passiert], 1.5=[Passiert]}
7515	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7516	katong	Karton	[Karton, Kanone, Kartons]	{2.5=[Karton, Kanone, Kartons]}
7517	gekugt	gekuckt	[gelugt, gelegt, geküßt, gekauft, gefügt, gejagt, gefegt, geduzt, gehegt, beugt, gesaugt, gehupt, gebeugt, genügt, gesagt, beäugt, gesägt, gekaut, geregt, genug, gewußt, genagt, gewagt, getaugt, geklagt]	{1.0=[gelugt], 2.0=[gelegt, geküßt, gekauft, gefügt, gejagt, gefegt, geduzt, gehegt, beugt, gesaugt, gehupt, gebeugt, genügt, gesagt, beäugt, gesägt, gekaut, geregt, genug, gewußt, genagt, gewagt, getaugt, geklagt]}
7518	danar	danach	[danke, daran, dankbar, dafür, davor, dann, dankt, dar, dank, daher, paar, dalag, dasaß, danach]	{2.0=[danke, daran, dankbar, dafür, davor, dann, dankt, dar, dank, daher, paar, dalag, dasaß, danach]}
7519	gellart	gelacht	[geklaut, geklärt, geplant, geleert, gespart, geplagt, gellt, geklagt, gelehrt]	{2.0=[geklaut, geklärt, geplant, geleert, gespart, geplagt, gellt, geklagt, gelehrt]}
7520	Dan	Dann	[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]	{1.0=[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]}
7521	katong	Karton	[Karton, Kanone, Kartons]	{2.5=[Karton, Kanone, Kartons]}
7522	gegagan	gegangen	[gegangen, Gegangen, geladen, gelegen, gehauen, gewagte, gejagt, gehangen, geraden, gebogen, gesagt, gesogen, getan, gegeben, genügen, genauen, begaben, gewagt, geraten, besagen, gewann, gewogen, begann, gegen, begangen, gelogen, gelangen, gegraben, behagen, gewagten, gezogen, genagt, gefangen, getragen]	{2.0=[gegangen], 2.5=[Gegangen], 3.0=[geladen, gelegen, gehauen, gewagte, gejagt, gehangen, geraden, gebogen, gesagt, gesogen, getan, gegeben, genügen, genauen, begaben, gewagt, geraten, besagen, gewann, gewogen, begann, gegen, begangen, gelogen, gelangen, gegraben, behagen, gewagten, gezogen, genagt, gefangen, getragen]}
7523	katon	Karton	[Karton, taten, kamen, kann, davon, Skaten, kalten, waten, kauen, raten, skaten, kauten, baten]	{1.5=[Karton], 2.0=[taten, kamen, kann, davon, Skaten, kalten, waten, kauen, raten, skaten, kauten, baten]}
7524	sietzen	sitzen	[setzen, sitzen, Sitzen, Setzen]	{1.0=[setzen, sitzen], 1.5=[Sitzen, Setzen]}
7525	wolte	wollte	[wogte, wollte, holte, wolle]	{1.0=[wogte, wollte, holte, wolle]}
7526	kotoeng	Karton	[kommend, kochen, toten, lotsen, kosten, kommen, streng, boten, knoten, kochend, roten]	{3.0=[kommend, kochen, toten, lotsen, kosten, kommen, streng, boten, knoten, kochend, roten]}
7527	Dan	Dann	[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]	{1.0=[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]}
7528	kaputgegagan	kaputtgegangen	[kaputtgegangen, kaputten, aufgegangen, kaputtgingen, kaputtgemacht, rausgegangen, ausgegangen, kaputtgehen]	{3.0=[kaputtgegangen], 5.0=[kaputten, aufgegangen, kaputtgingen, kaputtgemacht, rausgegangen, ausgegangen, kaputtgehen]}
7529	gefalen	gefallen	[gefallen, Gefallen, geladen, gellen, gefielen, gehauen, gefallene, befallen, gefahren, gefalle, geraden, genialen, befahlen, gefaltet, bemalen, gehalten, genauen, gemalten, gefangen, gefallt, geraten]	{1.0=[gefallen], 1.5=[Gefallen], 2.0=[geladen, gellen, gefielen, gehauen, gefallene, befallen, gefahren, gefalle, geraden, genialen, befahlen, gefaltet, bemalen, gehalten, genauen, gemalten, gefangen, gefallt, geraten]}
7530	schpielen	spielen	[schielen, schliefen, schiefen, schrillen, schließen, schieden, schieben, schielend, schiele, schrieben, schielten, schmieden, schmiegen, schießen, schwiegen, schieren, schmieren, schniefen, schienen, spielen]	{1.0=[schielen], 2.0=[schliefen, schiefen, schrillen, schließen, schieden, schieben, schielend, schiele, schrieben, schielten, schmieden, schmiegen, schießen, schwiegen, schieren, schmieren, schniefen, schienen, spielen]}
7531	schpielen	spielen	[schielen, schliefen, schiefen, schrillen, schließen, schieden, schieben, schielend, schiele, schrieben, schielten, schmieden, schmiegen, schießen, schwiegen, schieren, schmieren, schniefen, schienen, spielen]	{1.0=[schielen], 2.0=[schliefen, schiefen, schrillen, schließen, schieden, schieben, schielend, schiele, schrieben, schielten, schmieden, schmiegen, schießen, schwiegen, schieren, schmieren, schniefen, schienen, spielen]}
7532	zusam	zusammen	[zusah, zukam, zugab, zunahm, zumal, zum, auskam, zukamt, zudem]	{1.0=[zusah, zukam], 2.0=[zugab, zunahm, zumal, zum, auskam, zukamt, zudem]}
7533	staine	Steine	[staune, Steine, Staune]	{1.0=[staune], 1.5=[Steine, Staune]}
7534	baues	bauen	[raues, baue, blaues, bauen]	{1.0=[raues, baue, blaues, bauen]}
7535	danoch	danach	[danach, Danach, manch, noch, dennoch, doch]	{1.0=[danach], 1.5=[Danach], 2.0=[manch, noch, dennoch, doch]}
7536	komt	kommt	[komm, kommt, kamt]	{1.0=[komm, kommt, kamt]}
7537	verschtek	versteck	[versuchter, versuchten, versuchte]	{2.0=[versuchter, versuchten, versuchte]}
7538	dien	den	[die, dient, diene, dein, dies, den]	{1.0=[die, dient, diene, dein, dies, den]}
7539	kartonk	Karton	[Karton, Kartons, Karten]	{1.5=[Karton, Kartons], 2.5=[Karten]}
7540	komt	kommt	[komm, kommt, kamt]	{1.0=[komm, kommt, kamt]}
7541	kartanß	Kartons	[Karton, Karten, Kartons]	{2.5=[Karton, Karten, Kartons]}
7542	abchauen	abhauen	[abhauen, abhaue, abgehauen, schauen, anschauen, abzuhauen]	{1.0=[abhauen], 2.0=[abhaue, abgehauen, schauen, anschauen, abzuhauen]}
7543	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7544	welt	fällt	[welt, Welt, wert, welk, welkt, weht, weit]	{0.0=[welt], 0.5=[Welt], 1.0=[wert, welk, welkt, weht, weit]}
7545	runta	runter	[runde, ruft, bunte, bunt, raunt, ruht, runter, ruhte, rund, raunte]	{2.0=[runde, ruft, bunte, bunt, raunt, ruht, runter, ruhte, rund, raunte]}
7546	Staine	Steine	[Steine, Staune, staune]	{1.0=[Steine, Staune], 1.5=[staune]}
7547	komt	kommt	[komm, kommt, kamt]	{1.0=[komm, kommt, kamt]}
7548	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7549	fastsinirt	fasziniert	[fasziniert, Fasziniert, gesteinigt, faszinierte, passiert, massiert, festbindet]	{3.0=[fasziniert], 3.5=[Fasziniert], 4.0=[gesteinigt, faszinierte, passiert, massiert, festbindet]}
7550	wiel	will	[wie, fiel, will, weil, wies, viel]	{1.0=[wie, fiel, will, weil, wies, viel]}
7551	siech	sich	[riech, sieh, sich]	{1.0=[riech, sieh, sich]}
