chunk|candidate|err_idx|num_chunk_build
. Dann Bild Lars sein|Bild|1281|202
. Dann Wild Lars sein|Wild|1281|202
. Dann tilge Lars sein|tilge|1281|202
. Dann gen die Glüklich|gen|1289|203
. Dann geh die Glüklich|geh|1289|203
. Dann gehen die Glüklich|gehen|1289|203
. Dann gehe die Glüklich|gehe|1289|203
. Dann gern die Glüklich|gern|1289|203
. Dann geht die Glüklich|geht|1289|203
. Dann zehn die Glüklich|zehn|1289|203
gehn die Glücklich .|Glücklich|1291|204
gehn die Kläglich .|Kläglich|1291|204
Dodo gehen spazieren und auf|spazieren|1313|205
Dodo gehen spazierten und auf|spazierten|1313|205
Dodo gehen platzieren und auf|platzieren|1313|205
Dodo gehen strapazieren und auf|strapazieren|1313|205
Dodo gehen spaziere und auf|spaziere|1313|205
Dodo gehen inspizieren und auf|inspizieren|1313|205
ist Lea glücklich .|glücklich|1336|206
ist Lea kläglich .|kläglich|1336|206
sie haben gekriegt . Aba|gekriegt|1346|207
gekrigt . Alba ban Lea|Alba|1348|208
gekrigt . Abi ban Lea|Abi|1348|208
gekrigt . Abt ban Lea|Abt|1348|208
gekrigt . Abo ban Lea|Abo|1348|208
gekrigt . Ada ban Lea|Ada|1348|208
gekrigt . Ab ban Lea|Ab|1348|208
. Aba bahn Lea ist|bahn|1349|209
. Aba van Lea ist|van|1349|209
. Aba an Lea ist|an|1349|209
. Aba band Lea ist|band|1349|209
. Aba bang Lea ist|bang|1349|209
. Aba bin Lea ist|bin|1349|209
. Aba bar Lea ist|bar|1349|209
. Aba ran Lea ist|ran|1349|209
. Aba bat Lea ist|bat|1349|209
. Aba man Lea ist|man|1349|209
. Aba San Lea ist|San|1349|209
. Aba Jan Lea ist|Jan|1349|209
. Aba Pan Lea ist|Pan|1349|209
. Aba Fan Lea ist|Fan|1349|209
eis ist kaut . Und|kaut|1355|210
eis ist kaputt . Und|kaputt|1355|210
eis ist kappt . Und|kappt|1355|210
. Und da ist Lea|da|1358|211
. Und an ist Lea|an|1358|211
. Und dann ist Lea|dann|1358|211
. Und dran ist Lea|dran|1358|211
. Und dank ist Lea|dank|1358|211
. Und den ist Lea|den|1358|211
. Und das ist Lea|das|1358|211
. Und dar ist Lea|dar|1358|211
. Und ran ist Lea|ran|1358|211
. Und man ist Lea|man|1358|211
. Und van ist Lea|van|1358|211
. Und San ist Lea|San|1358|211
. Und Jan ist Lea|Jan|1358|211
. Und Pan ist Lea|Pan|1358|211
. Und Fan ist Lea|Fan|1358|211
ist Lea ausgerutscht und der|ausgerutscht|1361|212
ist Lea ausgetauscht und der|ausgetauscht|1361|212
ist Lea ausgereicht und der|ausgereicht|1361|212
ist Lea ausgeruht und der|ausgeruht|1361|212
ist Lea ausgerichtet und der|ausgerichtet|1361|212
eis ist unbar gegan .|unbar|1366|213
eis ist ruchbar gegan .|ruchbar|1366|213
ist runba gegen . Dan|gegen|1367|214
ist runba getan . Dan|getan|1367|214
ist runba gegangen . Dan|gegangen|1367|214
ist runba anrege . Dan|anrege|1367|214
ist runba anlege . Dan|anlege|1367|214
gegan . An ist das|An|1369|215
gegan . Dank ist das|Dank|1369|215
gegan . Ran ist das|Ran|1369|215
gegan . Don ist das|Don|1369|215
gegan . Man ist das|Man|1369|215
gegan . Van ist das|Van|1369|215
gegan . San ist das|San|1369|215
gegan . Jan ist das|Jan|1369|215
gegan . Pan ist das|Pan|1369|215
gegan . Fan ist das|Fan|1369|215
gegan . Da ist das|Da|1369|215
gegan . Dann ist das|Dann|1369|215
gegan . Dran ist das|Dran|1369|215
gegan . Den ist das|Den|1369|215
das eis rund gefalen und|rund|1373|216
das eis runde gefalen und|runde|1373|216
das eis rund- gefalen und|rund-|1373|216
eis runda gefallen und Dodo|gefallen|1374|217
eis runda gefalzten und Dodo|gefalzten|1374|217
eis runda gefalle und Dodo|gefalle|1374|217
eis runda gefangen und Dodo|gefangen|1374|217
eis runda fallen und Dodo|fallen|1374|217
und Dodo hat das eis|hat|1377|218
und Dodo haste das eis|haste|1377|218
und Dodo harte das eis|harte|1377|218
und Dodo hatte das eis|hatte|1377|218
und Dodo halte das eis|halte|1377|218
und Dodo chate das eis|chate|1377|218
und Dodo haute das eis|haute|1377|218
und Dodo hafte das eis|hafte|1377|218
und Dodo hakte das eis|hakte|1377|218
und Dodo rate das eis|rate|1377|218
und Dodo haue das eis|haue|1377|218
und Dodo habe das eis|habe|1377|218
und Dodo hake das eis|hake|1377|218
und Dodo wate das eis|wate|1377|218
und Dodo hüte das eis|hüte|1377|218
das eis essen . Dan|essen|1380|219
das eis gossen . Dan|gossen|1380|219
das eis dessen . Dan|dessen|1380|219
das eis messen . Dan|messen|1380|219
das eis kessen . Dan|kessen|1380|219
das eis wessen . Dan|wessen|1380|219
das eis Messen . Dan|Messen|1380|219
das eis Hessen . Dan|Hessen|1380|219
das eis -essen . Dan|-essen|1380|219
das eis genössen . Dan|genössen|1380|219
das eis genesen . Dan|genesen|1380|219
das eis gebissen . Dan|gebissen|1380|219
das eis gerissen . Dan|gerissen|1380|219
gessen . An hate fon|An|1382|220
gessen . Dank hate fon|Dank|1382|220
gessen . Ran hate fon|Ran|1382|220
gessen . Don hate fon|Don|1382|220
gessen . Man hate fon|Man|1382|220
gessen . Van hate fon|Van|1382|220
gessen . San hate fon|San|1382|220
gessen . Jan hate fon|Jan|1382|220
gessen . Pan hate fon|Pan|1382|220
gessen . Fan hate fon|Fan|1382|220
gessen . Da hate fon|Da|1382|220
gessen . Dann hate fon|Dann|1382|220
gessen . Dran hate fon|Dran|1382|220
gessen . Den hate fon|Den|1382|220
. Dan hat fon Lars|hat|1383|221
. Dan haste fon Lars|haste|1383|221
. Dan harte fon Lars|harte|1383|221
. Dan hatte fon Lars|hatte|1383|221
. Dan halte fon Lars|halte|1383|221
. Dan chate fon Lars|chate|1383|221
. Dan haute fon Lars|haute|1383|221
. Dan hafte fon Lars|hafte|1383|221
. Dan hakte fon Lars|hakte|1383|221
. Dan rate fon Lars|rate|1383|221
. Dan haue fon Lars|haue|1383|221
. Dan habe fon Lars|habe|1383|221
. Dan hake fon Lars|hake|1383|221
. Dan wate fon Lars|wate|1383|221
. Dan hüte fon Lars|hüte|1383|221
Dan hate von Lars hate|von|1384|222
Dan hate Ion Lars hate|Ion|1384|222
Dan hate Ton Lars hate|Ton|1384|222
Dan hate Don Lars hate|Don|1384|222
Dan hate Bon Lars hate|Bon|1384|222
Dan hate Xon Lars hate|Xon|1384|222
Dan hate Äon Lars hate|Äon|1384|222
fon Lars hat bisjen eis|hat|1386|223
fon Lars haste bisjen eis|haste|1386|223
fon Lars harte bisjen eis|harte|1386|223
fon Lars hatte bisjen eis|hatte|1386|223
fon Lars halte bisjen eis|halte|1386|223
fon Lars chate bisjen eis|chate|1386|223
fon Lars haute bisjen eis|haute|1386|223
fon Lars hafte bisjen eis|hafte|1386|223
fon Lars hakte bisjen eis|hakte|1386|223
fon Lars rate bisjen eis|rate|1386|223
fon Lars haue bisjen eis|haue|1386|223
fon Lars habe bisjen eis|habe|1386|223
fon Lars hake bisjen eis|hake|1386|223
fon Lars wate bisjen eis|wate|1386|223
fon Lars hüte bisjen eis|hüte|1386|223
Lars hate bissen eis gegeben|bissen|1387|224
Lars hate bissigen eis gegeben|bissigen|1387|224
. Und da hate jeda|da|1392|225
. Und an hate jeda|an|1392|225
. Und dann hate jeda|dann|1392|225
. Und dran hate jeda|dran|1392|225
. Und dank hate jeda|dank|1392|225
. Und den hate jeda|den|1392|225
. Und das hate jeda|das|1392|225
. Und dar hate jeda|dar|1392|225
. Und ran hate jeda|ran|1392|225
. Und man hate jeda|man|1392|225
. Und van hate jeda|van|1392|225
. Und San hate jeda|San|1392|225
. Und Jan hate jeda|Jan|1392|225
. Und Pan hate jeda|Pan|1392|225
. Und Fan hate jeda|Fan|1392|225
Und dan hat jeda bisjen|hat|1393|226
Und dan haste jeda bisjen|haste|1393|226
Und dan harte jeda bisjen|harte|1393|226
Und dan hatte jeda bisjen|hatte|1393|226
Und dan halte jeda bisjen|halte|1393|226
Und dan chate jeda bisjen|chate|1393|226
Und dan haute jeda bisjen|haute|1393|226
Und dan hafte jeda bisjen|hafte|1393|226
Und dan hakte jeda bisjen|hakte|1393|226
Und dan rate jeda bisjen|rate|1393|226
Und dan haue jeda bisjen|haue|1393|226
Und dan habe jeda bisjen|habe|1393|226
Und dan hake jeda bisjen|hake|1393|226
Und dan wate jeda bisjen|wate|1393|226
Und dan hüte jeda bisjen|hüte|1393|226
dan hate jede bisjen jeda|jede|1394|227
dan hate je da bisjen jeda|je da|1394|227
dan hate je-da bisjen jeda|je-da|1394|227
hate jeda bissen jeda .|bissen|1395|228
hate jeda bissigen jeda .|bissigen|1395|228
jeda bisjen jede .|jede|1396|229
jeda bisjen je da .|je da|1396|229
jeda bisjen je-da .|je-da|1396|229
aber Dodo weil ein eis|weil|1406|230
aber Dodo will ein eis|will|1406|230
aber Dodo wild ein eis|wild|1406|230
aber Dodo wie ein eis|wie|1406|230
aber Dodo wir ein eis|wir|1406|230
aber Dodo Nil ein eis|Nil|1406|230
ein eis von Lea .|von|1421|231
ein eis Ion Lea .|Ion|1421|231
ein eis Ton Lea .|Ton|1421|231
ein eis Don Lea .|Don|1421|231
ein eis Bon Lea .|Bon|1421|231
ein eis Xon Lea .|Xon|1421|231
ein eis Äon Lea .|Äon|1421|231
Dodo ist englisch wal ein|englisch|1428|232
ist glülisch Wal ein eis|Wal|1429|233
ist glülisch -wal ein eis|-wal|1429|233
ist glülisch was ein eis|was|1429|233
ist glülisch aal ein eis|aal|1429|233
ist glülisch war ein eis|war|1429|233
ist glülisch mal ein eis|mal|1429|233
ist glülisch Aal ein eis|Aal|1429|233
ist glülisch Ral ein eis|Ral|1429|233
ist glülisch Tal ein eis|Tal|1429|233
ist glülisch Mal ein eis|Mal|1429|233
ist glülisch walle ein eis|walle|1429|233
ein eis von Lea ruter|von|1432|234
ein eis Ion Lea ruter|Ion|1432|234
ein eis Ton Lea ruter|Ton|1432|234
ein eis Don Lea ruter|Don|1432|234
ein eis Bon Lea ruter|Bon|1432|234
ein eis Xon Lea ruter|Xon|1432|234
ein eis Äon Lea ruter|Äon|1432|234
fon Lea runter geflogen aber|runter|1434|235
fon Lea roter geflogen aber|roter|1434|235
fon Lea guter geflogen aber|guter|1434|235
fon Lea röter geflogen aber|röter|1434|235
fon Lea Euter geflogen aber|Euter|1434|235
fon Lea Puter geflogen aber|Puter|1434|235
fon Lea erneuter geflogen aber|erneuter|1434|235
aber Lars teil mit Lea|teil|1438|236
aber Lars teile mit Lea|teile|1438|236
aber Lars eitel mit Lea|eitel|1438|236
eis darum ist glülisch .|ist|1443|237
eis darum seit glülisch .|seit|1443|237
eis darum sie glülisch .|sie|1443|237
eis darum mit glülisch .|mit|1443|237
eis darum fit glülisch .|fit|1443|237
eis darum sät glülisch .|sät|1443|237
eis darum Hit glülisch .|Hit|1443|237
eis darum Bit glülisch .|Bit|1443|237
eis darum Kit glülisch .|Kit|1443|237
eis darum sitzt glülisch .|sitzt|1443|237
darum sit englisch . Jeder|englisch|1444|238
ein eis bekommen .|bekommen|1450|239
ein eis bekamen .|bekamen|1450|239
ein eis bekämen .|bekämen|1450|239
ein eis bekomme .|bekomme|1450|239
ein eis beklommen .|beklommen|1450|239
ein eis benommen .|benommen|1450|239
ein eis kommen .|kommen|1450|239
und Dodo sind in EisStant|sind|1457|240
und Dodo sinnt in EisStant|sinnt|1457|240
und Dodo singt in EisStant|singt|1457|240
und Dodo sinkt in EisStant|sinkt|1457|240
und Dodo eint in EisStant|eint|1457|240
und Dodo sing in EisStant|sing|1457|240
sint in Eisstand . und|Eisstand|1459|241
sint in Eisstaat . und|Eisstaat|1459|241
sint in Eisstart . und|Eisstart|1459|241
sint in Eisstadt . und|Eisstadt|1459|241
sint in Eisstunt . und|Eisstunt|1459|241
sint in Eisspant . und|Eisspant|1459|241
. und sind gegangen und|sind|1462|242
. und sinnt gegangen und|sinnt|1462|242
. und singt gegangen und|singt|1462|242
. und sinkt gegangen und|sinkt|1462|242
. und eint gegangen und|eint|1462|242
. und sing gegangen und|sing|1462|242
gegangen und da ist vom|da|1465|243
gegangen und an ist vom|an|1465|243
gegangen und dann ist vom|dann|1465|243
gegangen und dran ist vom|dran|1465|243
gegangen und dank ist vom|dank|1465|243
gegangen und den ist vom|den|1465|243
gegangen und das ist vom|das|1465|243
gegangen und dar ist vom|dar|1465|243
gegangen und ran ist vom|ran|1465|243
gegangen und man ist vom|man|1465|243
gegangen und van ist vom|van|1465|243
gegangen und San ist vom|San|1465|243
gegangen und Jan ist vom|Jan|1465|243
gegangen und Pan ist vom|Pan|1465|243
gegangen und Fan ist vom|Fan|1465|243
vom Lea da dan ist|da|1469|244
vom Lea an dan ist|an|1469|244
vom Lea dann dan ist|dann|1469|244
vom Lea dran dan ist|dran|1469|244
vom Lea dank dan ist|dank|1469|244
vom Lea den dan ist|den|1469|244
vom Lea das dan ist|das|1469|244
vom Lea dar dan ist|dar|1469|244
vom Lea ran dan ist|ran|1469|244
vom Lea man dan ist|man|1469|244
vom Lea van dan ist|van|1469|244
vom Lea San dan ist|San|1469|244
vom Lea Jan dan ist|Jan|1469|244
vom Lea Pan dan ist|Pan|1469|244
vom Lea Fan dan ist|Fan|1469|244
Lea dan da ist da|da|1470|245
Lea dan an ist da|an|1470|245
Lea dan dann ist da|dann|1470|245
Lea dan dran ist da|dran|1470|245
Lea dan dank ist da|dank|1470|245
Lea dan den ist da|den|1470|245
Lea dan das ist da|das|1470|245
Lea dan dar ist da|dar|1470|245
Lea dan ran ist da|ran|1470|245
Lea dan man ist da|man|1470|245
Lea dan van ist da|van|1470|245
Lea dan San ist da|San|1470|245
Lea dan Jan ist da|Jan|1470|245
Lea dan Pan ist da|Pan|1470|245
Lea dan Fan ist da|Fan|1470|245
da Eis getropft . und|getropft|1474|246
da Eis getrost . und|getrost|1474|246
da Eis getroffen . und|getroffen|1474|246
da Eis getrottet . und|getrottet|1474|246
. und da Hat das|da|1477|247
. und an Hat das|an|1477|247
. und dann Hat das|dann|1477|247
. und dran Hat das|dran|1477|247
. und dank Hat das|dank|1477|247
. und den Hat das|den|1477|247
. und das Hat das|das|1477|247
. und dar Hat das|dar|1477|247
. und ran Hat das|ran|1477|247
. und man Hat das|man|1477|247
. und van Hat das|van|1477|247
. und San Hat das|San|1477|247
. und Jan Hat das|Jan|1477|247
. und Pan Hat das|Pan|1477|247
. und Fan Hat das|Fan|1477|247
. und da felt si|da|1483|248
. und an felt si|an|1483|248
. und dann felt si|dann|1483|248
. und dran felt si|dran|1483|248
. und dank felt si|dank|1483|248
. und den felt si|den|1483|248
. und das felt si|das|1483|248
. und dar felt si|dar|1483|248
. und ran felt si|ran|1483|248
. und man felt si|man|1483|248
. und van felt si|van|1483|248
. und San felt si|San|1483|248
. und Jan felt si|Jan|1483|248
. und Pan felt si|Pan|1483|248
. und Fan felt si|Fan|1483|248
und dan fehlt si Hin|fehlt|1484|249
und dan feilt si Hin|feilt|1484|249
und dan fielt si Hin|fielt|1484|249
und dan elft si Hin|elft|1484|249
und dan fest si Hin|fest|1484|249
und dan fett si Hin|fett|1484|249
und dan fegt si Hin|fegt|1484|249
und dan Welt si Hin|Welt|1484|249
und dan Zelt si Hin|Zelt|1484|249
dan felt sie Hin und|sie|1485|250
dan felt so Hin und|so|1485|250
dan felt sei Hin und|sei|1485|250
dan felt pi Hin und|pi|1485|250
dan felt xi Hin und|xi|1485|250
dan felt Ei Hin und|Ei|1485|250
Hin und da fersucht Dodo|da|1488|251
Hin und an fersucht Dodo|an|1488|251
Hin und dann fersucht Dodo|dann|1488|251
Hin und dran fersucht Dodo|dran|1488|251
Hin und dank fersucht Dodo|dank|1488|251
Hin und den fersucht Dodo|den|1488|251
Hin und das fersucht Dodo|das|1488|251
Hin und dar fersucht Dodo|dar|1488|251
Hin und ran fersucht Dodo|ran|1488|251
Hin und man fersucht Dodo|man|1488|251
Hin und van fersucht Dodo|van|1488|251
Hin und San fersucht Dodo|San|1488|251
Hin und Jan fersucht Dodo|Jan|1488|251
Hin und Pan fersucht Dodo|Pan|1488|251
Hin und Fan fersucht Dodo|Fan|1488|251
und dan ersucht Dodo das|ersucht|1489|252
und dan versucht Dodo das|versucht|1489|252
und dan Ufersucht Dodo das|Ufersucht|1489|252
und dan feucht Dodo das|feucht|1489|252
Eis zu essen . und|essen|1494|253
Eis zu lesen . und|lesen|1494|253
Eis zu Lesen . und|Lesen|1494|253
Eis zu Besen . und|Besen|1494|253
Eis zu Wesen . und|Wesen|1494|253
Eis zu eben . und|eben|1494|253
Eis zu äsen . und|äsen|1494|253
Eis zu Ösen . und|Ösen|1494|253
. und da Had Dodo|da|1497|254
. und an Had Dodo|an|1497|254
. und dann Had Dodo|dann|1497|254
. und dran Had Dodo|dran|1497|254
. und dank Had Dodo|dank|1497|254
. und den Had Dodo|den|1497|254
. und das Had Dodo|das|1497|254
. und dar Had Dodo|dar|1497|254
. und ran Had Dodo|ran|1497|254
. und man Had Dodo|man|1497|254
. und van Had Dodo|van|1497|254
. und San Had Dodo|San|1497|254
. und Jan Had Dodo|Jan|1497|254
. und Pan Had Dodo|Pan|1497|254
. und Fan Had Dodo|Fan|1497|254
und dan Hd Dodo das|Hd|1498|255
und dan Ad Dodo das|Ad|1498|255
und dan Hand Dodo das|Hand|1498|255
und dan Hai Dodo das|Hai|1498|255
und dan Hab Dodo das|Hab|1498|255
und dan Rad Dodo das|Rad|1498|255
und dan Bad Dodo das|Bad|1498|255
und dan Hat Dodo das|Hat|1498|255
und dan Hau Dodo das|Hau|1498|255
das Eis geschehe |geschehe|1502|256
das Eis geschah |geschah|1502|256
das Eis geschähe |geschähe|1502|256
. Und sie gen frölich|sie|1517|257
. Und so gen frölich|so|1517|257
. Und sei gen frölich|sei|1517|257
. Und pi gen frölich|pi|1517|257
. Und xi gen frölich|xi|1517|257
. Und Ei gen frölich|Ei|1517|257
si gen fröhlich weg .|fröhlich|1519|258
si gen freilich weg .|freilich|1519|258
Lea beim aufstehen . Lars|aufstehen|1534|259
Lea beim aufstauten . Lars|aufstauten|1534|259
Lea beim aufstauen . Lars|aufstauen|1534|259
Lea beim aufsteigen . Lars|aufsteigen|1534|259
. Lars gibt Lea Eis|gibt|1537|260
. Lars biegt Lea Eis|biegt|1537|260
. Lars gebt Lea Eis|gebt|1537|260
. Lars siebt Lea Eis|siebt|1537|260
. Lars giert Lea Eis|giert|1537|260
. Lars riebt Lea Eis|riebt|1537|260
. Lars liebt Lea Eis|liebt|1537|260
. Lars gießt Lea Eis|gießt|1537|260
. Und sog frölich weg|sog|1542|261
. Und sing frölich weg|sing|1542|261
. Und sie frölich weg|sie|1542|261
. Und sag frölich weg|sag|1542|261
. Und sigma frölich weg|sigma|1542|261
Und sig fröhlich weg|fröhlich|1543|262
Und sig freilich weg|freilich|1543|262
und Dodo weil auch eis|weil|1552|263
und Dodo wie auch eis|wie|1552|263
und Dodo wies auch eis|wies|1552|263
und Dodo will auch eis|will|1552|263
und Dodo fiel auch eis|fiel|1552|263
und Dodo viel auch eis|viel|1552|263
und Dodo ziel auch eis|ziel|1552|263
und Dodo Siel auch eis|Siel|1552|263
und Dodo Kiel auch eis|Kiel|1552|263
und Dodo Ziel auch eis|Ziel|1552|263
eis ist unten kaput und|unten|1559|264
eis ist runden kaput und|runden|1559|264
eis ist munden kaput und|munden|1559|264
eis ist wunden kaput und|wunden|1559|264
eis ist Runden kaput und|Runden|1559|264
eis ist Hunden kaput und|Hunden|1559|264
eis ist Bunden kaput und|Bunden|1559|264
eis ist Funden kaput und|Funden|1559|264
eis ist Kunden kaput und|Kunden|1559|264
eis ist Wunden kaput und|Wunden|1559|264
eis ist enden kaput und|enden|1559|264
eis ist unken kaput und|unken|1559|264
eis ist Enden kaput und|Enden|1559|264
eis ist Anden kaput und|Anden|1559|264
ist unden kaut und Dodo|kaut|1560|265
ist unden kaputt und Dodo|kaputt|1560|265
ist unden kappt und Dodo|kappt|1560|265
eis am Schlecht . Lea|Schlecht|1567|266
eis am Schleckt . Lea|Schleckt|1567|266
. Lea steuert und Dodo|steuert|1570|267
Lars hat geteilt und alle|geteilt|1588|268
Lars hat gefeit und alle|gefeit|1588|268
Lars hat geleitet und alle|geleitet|1588|268
Lars hat geleite und alle|geleite|1588|268
Lars hat gebreitet und alle|gebreitet|1588|268
Lars hat gesittet und alle|gesittet|1588|268
und alle niest glüklisch .|niest|1591|269
und alle dient glüklisch .|dient|1591|269
und alle siebt glüklisch .|siebt|1591|269
und alle sinnt glüklisch .|sinnt|1591|269
und alle siegt glüklisch .|siegt|1591|269
und alle sieht glüklisch .|sieht|1591|269
und alle siebent glüklisch .|siebent|1591|269
alle sient glücklich .|glücklich|1592|270
und Lea gen zu einer|gen|1601|271
und Lea geh zu einer|geh|1601|271
und Lea gehen zu einer|gehen|1601|271
und Lea gehe zu einer|gehe|1601|271
und Lea gern zu einer|gern|1601|271
und Lea geht zu einer|geht|1601|271
und Lea zehn zu einer|zehn|1601|271
stolpert Lea über Dodo .|über|1614|272
. Dodo freut sich dodo|freut|1618|273
. Dodo fräst sich dodo|fräst|1618|273
leckt das ein Lea weint|ein|1623|274
leckt das Ei Lea weint|Ei|1623|274
leckt in Ruhr ihr eis|Ruhr|1642|275
leckt in ruhe ihr eis|ruhe|1642|275
leckt in ruht ihr eis|ruht|1642|275
leckt in -ruhr ihr eis|-ruhr|1642|275
leckt in fuhr ihr eis|fuhr|1642|275
leckt in -uhr ihr eis|-uhr|1642|275
aber Dodo weil ach ein|weil|1654|276
aber Dodo will ach ein|will|1654|276
aber Dodo wild ach ein|wild|1654|276
aber Dodo wie ach ein|wie|1654|276
aber Dodo wir ach ein|wir|1654|276
aber Dodo Nil ach ein|Nil|1654|276
. Lea fehlt hin und|fehlt|1670|277
. Lea feilt hin und|feilt|1670|277
. Lea fielt hin und|fielt|1670|277
. Lea elft hin und|elft|1670|277
. Lea fest hin und|fest|1670|277
. Lea fett hin und|fett|1670|277
. Lea fegt hin und|fegt|1670|277
. Lea Welt hin und|Welt|1670|277
. Lea Zelt hin und|Zelt|1670|277
. Dodo frisst das Eis|frisst|1679|278
. Dodo Frist das Eis|Frist|1679|278
. Dodo friste das Eis|friste|1679|278
. Dodo freist das Eis|freist|1679|278
. Dodo -frist das Eis|-frist|1679|278
. Dodo friss das Eis|friss|1679|278
. Dodo trist das Eis|trist|1679|278
. Dodo fräst das Eis|fräst|1679|278
Lea ist hinfallen und Lars|hinfallen|1684|279
Lea ist hingefallen und Lars|hingefallen|1684|279
Lea ist hing fallen und Lars|hing fallen|1684|279
Lea ist hing-fallen und Lars|hing-fallen|1684|279
Lea ist Singfallen und Lars|Singfallen|1684|279
Lea ist Ringfallen und Lars|Ringfallen|1684|279
Lea ist hineingefallen und Lars|hineingefallen|1684|279
Lea ist hineinfallen und Lars|hineinfallen|1684|279
Lea ist hinzufallen und Lars|hinzufallen|1684|279
Lea ist hinausfallen und Lars|hinausfallen|1684|279
ist auch heruntergefallen . Lea|heruntergefallen|1726|280
ist auch heruntergefahren . Lea|heruntergefahren|1726|280
ist auch herunterfallen . Lea|herunterfallen|1726|280
ist auch heruntergeladen . Lea|heruntergeladen|1726|280
Und Dodo sammelt die tropfen|sammelt|1754|281
Und Dodo stammelt die tropfen|stammelt|1754|281
Und Dodo seltsam die tropfen|seltsam|1754|281
und Dodo gen zum eisladen|gen|1766|282
und Dodo geh zum eisladen|geh|1766|282
und Dodo gehen zum eisladen|gehen|1766|282
und Dodo gehe zum eisladen|gehe|1766|282
und Dodo gern zum eisladen|gern|1766|282
und Dodo geht zum eisladen|geht|1766|282
und Dodo zehn zum eisladen|zehn|1766|282
zum eisladen jede krikt zwei|jede|1769|283
zum eisladen je da krikt zwei|je da|1769|283
zum eisladen je-da krikt zwei|je-da|1769|283
eisladen jeda strikt zwei eiskugeln|strikt|1770|284
. Und da gehn si|da|1775|285
. Und an gehn si|an|1775|285
. Und dann gehn si|dann|1775|285
. Und dran gehn si|dran|1775|285
. Und dank gehn si|dank|1775|285
. Und den gehn si|den|1775|285
. Und das gehn si|das|1775|285
. Und dar gehn si|dar|1775|285
. Und ran gehn si|ran|1775|285
. Und man gehn si|man|1775|285
. Und van gehn si|van|1775|285
. Und San gehn si|San|1775|285
. Und Jan gehn si|Jan|1775|285
. Und Pan gehn si|Pan|1775|285
. Und Fan gehn si|Fan|1775|285
Und dan gen si weiter|gen|1776|286
Und dan geh si weiter|geh|1776|286
Und dan gehen si weiter|gehen|1776|286
Und dan gehe si weiter|gehe|1776|286
Und dan gern si weiter|gern|1776|286
Und dan geht si weiter|geht|1776|286
Und dan zehn si weiter|zehn|1776|286
dan gehn sie weiter und|sie|1777|287
dan gehn so weiter und|so|1777|287
dan gehn sei weiter und|sei|1777|287
dan gehn pi weiter und|pi|1777|287
dan gehn xi weiter und|xi|1777|287
dan gehn Ei weiter und|Ei|1777|287
weiter und lenken am irem|lenken|1780|288
weiter und lecken am irem|lecken|1780|288
weiter und ekeln am irem|ekeln|1780|288
weiter und lenke am irem|lenke|1780|288
weiter und lesen am irem|lesen|1780|288
weiter und legen am irem|legen|1780|288
weiter und leben am irem|leben|1780|288
weiter und keilen am irem|keilen|1780|288
leken am irrem eis .|irrem|1782|289
leken am ihrem eis .|ihrem|1782|289
leken am Krem eis .|Krem|1782|289
leken am irre eis .|irre|1782|289
über Dodo Feld und das|Feld|1789|290
über Dodo feld- und das|feld-|1789|290
über Dodo -feld und das|-feld|1789|290
über Dodo Geld und das|Geld|1789|290
über Dodo Held und das|Held|1789|290
über Dodo feldfrei und das|feldfrei|1789|290
das eis Feld . Und|Feld|1793|291
das eis feld- . Und|feld-|1793|291
das eis -feld . Und|-feld|1793|291
das eis Geld . Und|Geld|1793|291
das eis Held . Und|Held|1793|291
das eis feldfrei . Und|feldfrei|1793|291
. Und da töst Lars|da|1796|292
. Und an töst Lars|an|1796|292
. Und dann töst Lars|dann|1796|292
. Und dran töst Lars|dran|1796|292
. Und dank töst Lars|dank|1796|292
. Und den töst Lars|den|1796|292
. Und das töst Lars|das|1796|292
. Und dar töst Lars|dar|1796|292
. Und ran töst Lars|ran|1796|292
. Und man töst Lars|man|1796|292
. Und van töst Lars|van|1796|292
. Und San töst Lars|San|1796|292
. Und Jan töst Lars|Jan|1796|292
. Und Pan töst Lars|Pan|1796|292
. Und Fan töst Lars|Fan|1796|292
Und dan döst Lars Lea|döst|1797|293
Und dan tönst Lars Lea|tönst|1797|293
Und dan tönt Lars Lea|tönt|1797|293
Und dan tost Lars Lea|tost|1797|293
Und dan löst Lars Lea|löst|1797|293
Und dan tust Lars Lea|tust|1797|293
. Und da gipt Lars|da|1802|294
. Und an gipt Lars|an|1802|294
. Und dann gipt Lars|dann|1802|294
. Und dran gipt Lars|dran|1802|294
. Und dank gipt Lars|dank|1802|294
. Und den gipt Lars|den|1802|294
. Und das gipt Lars|das|1802|294
. Und dar gipt Lars|dar|1802|294
. Und ran gipt Lars|ran|1802|294
. Und man gipt Lars|man|1802|294
. Und van gipt Lars|van|1802|294
. Und San gipt Lars|San|1802|294
. Und Jan gipt Lars|Jan|1802|294
. Und Pan gipt Lars|Pan|1802|294
. Und Fan gipt Lars|Fan|1802|294
Und dan gilt Lars ine|gilt|1803|295
Und dan gibt Lars ine|gibt|1803|295
Und dan getippt Lars ine|getippt|1803|295
gipt Lars nie eiskuge Lea|nie|1805|296
gipt Lars in eiskuge Lea|in|1805|296
gipt Lars eine eiskuge Lea|eine|1805|296
gipt Lars inne eiskuge Lea|inne|1805|296
gipt Lars Mine eiskuge Lea|Mine|1805|296
gipt Lars ein eiskuge Lea|ein|1805|296
